Time,SP1,SP2,SP3,WT1,WT2,WT3,HP
2023-04-01 01:00, 0, 0, 0, 200, 150, 120, 1500
2023-04-01 02:00, 0, 0, 0, 180, 170, 140, 1520
2023-04-01 03:00, 0, 0, 0, 210, 190, 130, 1530
2023-04-01 04:00, 0, 0, 0, 230, 220, 150, 1540
2023-04-01 05:00, 0, 0, 0, 190, 210, 160, 1550
2023-04-01 06:00, 30, 20, 10, 170, 240, 170, 1560
2023-04-01 07:00, 150, 140, 130, 200, 280, 180, 1570
2023-04-01 08:00, 270, 260, 250, 210, 270, 190, 1580
2023-04-01 09:00, 390, 380, 370, 230, 290, 200, 1590
2023-04-01 10:00, 510, 500, 490, 250, 310, 210, 1600
2023-04-01 11:00, 630, 620, 610, 270, 320, 220, 1610
2023-04-01 12:00, 750, 740, 730, 290, 330, 230, 1620
2023-04-01 13:00, 770, 760, 750, 310, 340, 240, 1630
2023-04-01 14:00, 780, 790, 800, 320, 350, 260, 1640
2023-04-01 15:00, 800, 810, 820, 330, 360, 270, 1650
2023-04-01 16:00, 820, 830, 840, 320, 330, 280, 1660
2023-04-01 17:00, 790, 780, 770, 300, 310, 270, 1670
2023-04-01 18:00, 760, 750, 740, 280, 290, 260, 1680
2023-04-01 19:00, 720, 730, 710, 250, 260, 240, 1690
2023-04-01 20:00, 500, 510, 520, 230, 240, 230, 1700
2023-04-01 21:00, 200, 210, 220, 210, 220, 200, 1710
2023-04-01 22:00, 0, 0, 0, 190, 200, 180, 1720
2023-04-01 23:00, 0, 0, 0, 170, 180, 160, 1730
2023-04-02 00:00, 0, 0, 0, 150, 160, 140, 1740
2023-04-02 01:00, 0, 0, 0, 130, 140, 120, 1500
