Month,SP1,SP2,SP3,WT1,WT2,WT3,HP
January,576000,648000,540000,720000,864000,1008000,1080000
February,550000,620000,520000,700000,850000,980000,1050000
March,530000,640000,510000,710000,860000,1010000,1100000
April,540000,630000,530000,730000,870000,1030000,1110000
May,560000,660000,550000,750000,890000,1000000,1060000
June,580000,640000,540000,740000,880000,1020000,1070000
July,570000,650000,530000,760000,900000,1040000,1090000
August,560000,630000,520000,770000,920000,1060000,1100000
September,550000,620000,50000,780000,940000,1080000,1120000
October,390000,610000,530000,800000,960000,1010000,1080000
November,350000,590000,28000,820000,980000,1040000,1060000
December,370000,580000,520000,840000,1000000,1000000,1040000
