Timestamp, Number of Employees
2023-04-01 01:00:00, 15
2023-04-01 02:00:00, 15
2023-04-01 03:00:00, 18
2023-04-01 04:00:00, 18
2023-04-01 05:00:00, 21
2023-04-01 06:00:00, 31
2023-04-01 07:00:00, 46
2023-04-01 08:00:00, 62
2023-04-01 09:00:00, 78
2023-04-01 10:00:00, 93
2023-04-01 11:00:00, 99
2023-04-01 12:00:00, 109
2023-04-01 13:00:00, 109
2023-04-01 14:00:00, 109
2023-04-01 15:00:00, 109
2023-04-01 16:00:00, 109
2023-04-01 17:00:00, 93
2023-04-01 18:00:00, 78
2023-04-01 19:00:00, 62
2023-04-01 20:00:00, 46
2023-04-01 21:00:00, 31
2023-04-01 22:00:00, 25
2023-04-01 23:00:00, 18
2023-04-02 00:00:00, 15
2023-04-02 01:00:00, 15
