Timestamp, Number of Employee Cars, Number of Delivery Trucks
2023-04-01 01:00:00, 5, 1
2023-04-01 02:00:00, 5, 1
2023-04-01 03:00:00, 6, 2
2023-04-01 04:00:00, 6, 2
2023-04-01 05:00:00, 7, 3
2023-04-01 06:00:00, 10, 4
2023-04-01 07:00:00, 15, 4
2023-04-01 08:00:00, 20, 4
2023-04-01 09:00:00, 25, 5
2023-04-01 10:00:00, 30, 5
2023-04-01 11:00:00, 33, 6
2023-04-01 12:00:00, 36, 6
2023-04-01 13:00:00, 36, 5
2023-04-01 14:00:00, 36, 4
2023-04-01 15:00:00, 36, 3
2023-04-01 16:00:00, 36, 3
2023-04-01 17:00:00, 30, 3
2023-04-01 18:00:00, 25, 2
2023-04-01 19:00:00, 20, 2
2023-04-01 20:00:00, 15, 2
2023-04-01 21:00:00, 10, 1
2023-04-01 22:00:00, 8, 1
2023-04-01 23:00:00, 6, 1
2023-04-02 00:00:00, 5, 1
2023-04-02 01:00:00, 5, 1
